company,Prev_Close,Current_Price,Changes,comments
Lasa Supergenerics,31.50,33.30,5.71,weekly nse groupall 2022-12-02
Goodyear India,"1,093.65","1,155.45",5.65,weekly nse groupall 2022-12-02
NLC India L,83.55,88.25,5.63,weekly nse groupall 2022-12-02
Geekay Wires,75.95,80.20,5.6,weekly nse groupall 2022-12-02
Reliance Infrastruct,154.30,162.90,5.57,weekly nse groupall 2022-12-02
Bombay Dyeing,80.80,85.30,5.57,weekly nse groupall 2022-12-02
G M Breweries Ltd.,582.35,614.80,5.57,weekly nse groupall 2022-12-02
Nagarjuna Fertilizer,8.10,8.55,5.56,weekly nse groupall 2022-12-02
Oracle Financial Ser,"3,049.35","3,218.80",5.56,weekly nse groupall 2022-12-02
We Win,45.05,47.55,5.55,weekly nse groupall 2022-12-02
Bhansali Engg.Po,110.15,116.25,5.54,weekly nse groupall 2022-12-02
Motherson Sumi Wirin,57.05,60.20,5.52,weekly nse groupall 2022-12-02
Sundaram Finance Hol,93.45,98.60,5.51,weekly nse groupall 2022-12-02
Kalyani Investment,"1,809.15","1,908.45",5.49,weekly nse groupall 2022-12-02
Manappuram Finance,113.20,119.40,5.48,weekly nse groupall 2022-12-02
Fusion Micro Finance,360.25,379.95,5.47,weekly nse groupall 2022-12-02
Tata Steel,106.20,112.00,5.46,weekly nse groupall 2022-12-02
Mawana Sugars Ltd.,83.70,88.25,5.44,weekly nse groupall 2022-12-02
Khaitan (India),49.70,52.40,5.43,weekly nse groupall 2022-12-02
Kesoram Industri,54.40,57.35,5.42,weekly nse groupall 2022-12-02
GMR Airports Infra,40.70,42.90,5.41,weekly nse groupall 2022-12-02
Kothari Products,108.60,114.45,5.39,weekly nse groupall 2022-12-02
Piramal Pharma,133.60,140.80,5.39,weekly nse groupall 2022-12-02
Angel One,"1,536.65","1,619.15",5.37,weekly nse groupall 2022-12-02
Sakuma Exports,14.90,15.70,5.37,weekly nse groupall 2022-12-02
The Andhra Sugars,128.80,135.70,5.36,weekly nse groupall 2022-12-02
Muthoot Finance,"1,078.00","1,135.75",5.36,weekly nse groupall 2022-12-02
PDS L,346.10,364.60,5.35,weekly nse groupall 2022-12-02
Om Infra,37.40,39.40,5.35,weekly nse groupall 2022-12-02
Go Fashion (India),"1,136.35","1,196.80",5.32,weekly nse groupall 2022-12-02
Triveni Turbine,275.60,290.20,5.3,weekly nse groupall 2022-12-02
INEOS Styrolution,782.95,824.40,5.29,weekly nse groupall 2022-12-02
5Paisa Capital,311.80,328.25,5.28,weekly nse groupall 2022-12-02
Ritco Logistics,184.80,194.55,5.28,weekly nse groupall 2022-12-02
UltraTech Cement,"6,874.00","7,237.05",5.28,weekly nse groupall 2022-12-02
Hind. Food,684.85,720.95,5.27,weekly nse groupall 2022-12-02
SRF Ltd.,"2,278.70","2,398.60",5.26,weekly nse groupall 2022-12-02
DB Corp,111.40,117.25,5.25,weekly nse groupall 2022-12-02
The Ramco Cements,656.75,691.15,5.24,weekly nse groupall 2022-12-02
Elgi Rubber Co.,34.35,36.15,5.24,weekly nse groupall 2022-12-02
United Spirits,889.35,935.90,5.23,weekly nse groupall 2022-12-02
Brooks Laboratories,112.00,117.85,5.22,weekly nse groupall 2022-12-02
JSW Holdings,"4,138.95","4,354.75",5.21,weekly nse groupall 2022-12-02
Home First Finance,720.15,757.65,5.21,weekly nse groupall 2022-12-02
Cochin Shipyard,627.75,660.30,5.19,weekly nse groupall 2022-12-02
FCS Software Sol.Ltd,2.90,3.05,5.17,weekly nse groupall 2022-12-02
MRF Ltd,"89,904.60","94,554.20",5.17,weekly nse groupall 2022-12-02
Delhivery L,331.70,348.80,5.16,weekly nse groupall 2022-12-02
Garware Hi-Tech Film,682.00,717.05,5.14,weekly nse groupall 2022-12-02
Garden Reach Ship,490.85,516.05,5.13,weekly nse groupall 2022-12-02
Bharat Petroleum,324.45,341.10,5.13,weekly nse groupall 2022-12-02
L&T Finance Holdings,86.90,91.35,5.12,weekly nse groupall 2022-12-02
Bikaji Foods Inter,391.85,411.90,5.12,weekly nse groupall 2022-12-02
Hemisphere Propertie,97.85,102.85,5.11,weekly nse groupall 2022-12-02
Butterfly Gandhima,"1,531.75","1,610.05",5.11,weekly nse groupall 2022-12-02
Nucleus Software,376.25,395.45,5.1,weekly nse groupall 2022-12-02
Indiabulls Real Esta,81.70,85.85,5.08,weekly nse groupall 2022-12-02
Kalyani Steel,318.85,335.05,5.08,weekly nse groupall 2022-12-02
Uttam Sugar Mills,259.95,273.15,5.08,weekly nse groupall 2022-12-02
Agro Tech Foods Ltd.,769.80,808.85,5.07,weekly nse groupall 2022-12-02
Cords Cable Industri,67.45,70.85,5.04,weekly nse groupall 2022-12-02
Carborundum Uni.,820.50,861.65,5.02,weekly nse groupall 2022-12-02
Va Tech Wabag,311.00,326.60,5.02,weekly nse groupall 2022-12-02
Simbhaoli Sugars,21.95,23.05,5.01,weekly nse groupall 2022-12-02
Reliance Power L,16.00,16.80,5.0,weekly nse groupall 2022-12-02
Manali Petrochem,80.15,84.15,4.99,weekly nse groupall 2022-12-02
Indian Oil Corp,73.35,77.00,4.98,weekly nse groupall 2022-12-02
Hindustan Media Vent,55.25,58.00,4.98,weekly nse groupall 2022-12-02
Den Networks Ltd.,35.25,37.00,4.96,weekly nse groupall 2022-12-02
Craftsman Automation,"3,031.80","3,182.15",4.96,weekly nse groupall 2022-12-02
Jupiter Wagons,79.75,83.70,4.95,weekly nse groupall 2022-12-02
IFCI Ltd.,13.15,13.80,4.94,weekly nse groupall 2022-12-02
Gujarat Gas,492.10,516.30,4.92,weekly nse groupall 2022-12-02
Shaily Engineering P,"1,641.05","1,721.55",4.91,weekly nse groupall 2022-12-02
Infibeam Avenues,16.35,17.15,4.89,weekly nse groupall 2022-12-02
Airo Lam,89.05,93.40,4.88,weekly nse groupall 2022-12-02
Deepak Nitrite,"2,108.55","2,211.50",4.88,weekly nse groupall 2022-12-02
Ravi Kumar Distiller,18.45,19.35,4.88,weekly nse groupall 2022-12-02
Polycab India,"2,550.10","2,674.30",4.87,weekly nse groupall 2022-12-02
Grasim Inds.,"1,735.15","1,819.65",4.87,weekly nse groupall 2022-12-02
PB Fintech,460.55,483.00,4.87,weekly nse groupall 2022-12-02
Piramal Enterprises,819.85,859.70,4.86,weekly nse groupall 2022-12-02
SBI Life Insurance,"1,235.25","1,295.15",4.85,weekly nse groupall 2022-12-02
Karnataka Bank,144.30,151.30,4.85,weekly nse groupall 2022-12-02
Lincoln Pharmace,322.55,338.20,4.85,weekly nse groupall 2022-12-02
Nahar Capital & Fina,320.90,336.40,4.83,weekly nse groupall 2022-12-02
United Breweries Ltd,"1,656.10","1,735.80",4.81,weekly nse groupall 2022-12-02
TCI Ltd.,648.20,679.35,4.81,weekly nse groupall 2022-12-02
Tata Steel Long Prod,640.00,670.75,4.8,weekly nse groupall 2022-12-02
TruCap Finance,56.40,59.10,4.79,weekly nse groupall 2022-12-02
Black Box,138.70,145.35,4.79,weekly nse groupall 2022-12-02
Rama Steel Tubes,166.20,174.15,4.78,weekly nse groupall 2022-12-02
Welspun Corp,238.45,249.85,4.78,weekly nse groupall 2022-12-02
Madras Fertilize,51.40,53.85,4.77,weekly nse groupall 2022-12-02
DCM Financial,6.30,6.60,4.76,weekly nse groupall 2022-12-02
Kamdhenu Ispat,271.40,284.30,4.75,weekly nse groupall 2022-12-02
TARC,41.05,43.00,4.75,weekly nse groupall 2022-12-02
Bhagyanagar India Lt,46.30,48.50,4.75,weekly nse groupall 2022-12-02
Urja Global,10.55,11.05,4.74,weekly nse groupall 2022-12-02
Rana Sugars,23.20,24.30,4.74,weekly nse groupall 2022-12-02
Huhtamaki India,186.30,195.05,4.7,weekly nse groupall 2022-12-02
Banswara Syntex,108.50,113.60,4.7,weekly nse groupall 2022-12-02
Mahindra Holidays,273.75,286.60,4.69,weekly nse groupall 2022-12-02
Eurotex Inds.,10.65,11.15,4.69,weekly nse groupall 2022-12-02
CCL Products India,506.10,529.80,4.68,weekly nse groupall 2022-12-02
PPAP Automotive,206.50,216.15,4.67,weekly nse groupall 2022-12-02
Hindalco Indus.,440.65,461.10,4.64,weekly nse groupall 2022-12-02
Prakash Indus.,52.90,55.35,4.63,weekly nse groupall 2022-12-02
AIA Engineering,"2,639.90","2,761.85",4.62,weekly nse groupall 2022-12-02
Texmaco Infrastructu,61.85,64.70,4.61,weekly nse groupall 2022-12-02
Indo Rama Synth.,53.20,55.65,4.61,weekly nse groupall 2022-12-02
Alembic Ltd.,72.80,76.15,4.6,weekly nse groupall 2022-12-02
Transformers & Recti,58.10,60.75,4.56,weekly nse groupall 2022-12-02
Cummins India Lt,"1,379.25","1,442.10",4.56,weekly nse groupall 2022-12-02
Mercator Ltd.,1.10,1.15,4.55,weekly nse groupall 2022-12-02
Hi-Tech Pipes Ltd.,801.10,837.55,4.55,weekly nse groupall 2022-12-02
Asso. Alcohols,434.20,453.85,4.53,weekly nse groupall 2022-12-02
Godfrey Phillips Ind,"1,741.05","1,819.75",4.52,weekly nse groupall 2022-12-02
Subros Ltd.,294.70,307.95,4.5,weekly nse groupall 2022-12-02
Zee Entertainment En,259.40,271.05,4.49,weekly nse groupall 2022-12-02
IDFC L,80.20,83.80,4.49,weekly nse groupall 2022-12-02
TRF Ltd,162.95,170.25,4.48,weekly nse groupall 2022-12-02
Ravinder Heights,24.60,25.70,4.47,weekly nse groupall 2022-12-02
JHS Svendgaard Labor,22.35,23.35,4.47,weekly nse groupall 2022-12-02
Shree Rama Multi,13.50,14.10,4.44,weekly nse groupall 2022-12-02
D P Wires,386.75,403.90,4.43,weekly nse groupall 2022-12-02
Century Plyboards,539.90,563.75,4.42,weekly nse groupall 2022-12-02
Sona BLW Precision,442.55,462.05,4.41,weekly nse groupall 2022-12-02
KDDL Ltd.,969.95,"1,012.70",4.41,weekly nse groupall 2022-12-02
Crown Lifters,36.40,38.00,4.4,weekly nse groupall 2022-12-02
Equitas Holdings Ltd,113.90,118.90,4.39,weekly nse groupall 2022-12-02
Guj. Amb.Exports,230.05,240.15,4.39,weekly nse groupall 2022-12-02
GeeCee Ventures,162.30,169.40,4.37,weekly nse groupall 2022-12-02
Hind. Composites,291.25,303.95,4.36,weekly nse groupall 2022-12-02
STEL Holdings,136.10,142.00,4.34,weekly nse groupall 2022-12-02
Thyrocare Tech.,613.85,640.25,4.3,weekly nse groupall 2022-12-02
Pressman Advertising,46.50,48.50,4.3,weekly nse groupall 2022-12-02
Hind. Petrol,226.05,235.70,4.27,weekly nse groupall 2022-12-02
Johnson Controls-Hit,"1,109.60","1,156.85",4.26,weekly nse groupall 2022-12-02
Mazda Ltd.,625.30,651.85,4.25,weekly nse groupall 2022-12-02
Supreme Petroche,748.65,780.30,4.23,weekly nse groupall 2022-12-02
Metro Brands,801.00,834.90,4.23,weekly nse groupall 2022-12-02
Wonderla Holidays Lt,363.95,379.35,4.23,weekly nse groupall 2022-12-02
Hercules Hoists,184.40,192.15,4.2,weekly nse groupall 2022-12-02
Sarthak Metals,132.45,138.00,4.19,weekly nse groupall 2022-12-02
Shankara Building Pr,698.75,728.05,4.19,weekly nse groupall 2022-12-02
Vadilal Indus.,"2,462.95","2,565.90",4.18,weekly nse groupall 2022-12-02
Burnpur Cement Ltd.,4.80,5.00,4.17,weekly nse groupall 2022-12-02
Ashapura Min. Lt,87.45,91.10,4.17,weekly nse groupall 2022-12-02
Stylam Industries,"1,098.25","1,143.95",4.16,weekly nse groupall 2022-12-02
Hero MotoCorp,"2,708.15","2,820.45",4.15,weekly nse groupall 2022-12-02
Tata Metaliks,756.65,787.95,4.14,weekly nse groupall 2022-12-02
Jayaswal Neco Indust,25.40,26.45,4.13,weekly nse groupall 2022-12-02
Great Eastern,666.45,693.95,4.13,weekly nse groupall 2022-12-02
Loyal Textiles M,768.65,800.20,4.1,weekly nse groupall 2022-12-02
Hatsun Agro Prod,908.30,945.55,4.1,weekly nse groupall 2022-12-02
Jayshree Tea,99.10,103.15,4.09,weekly nse groupall 2022-12-02
Steel Authority,83.35,86.75,4.08,weekly nse groupall 2022-12-02
Ruby Mills,211.90,220.55,4.08,weekly nse groupall 2022-12-02
Shalby,143.70,149.55,4.07,weekly nse groupall 2022-12-02
ACC,"2,507.25","2,609.30",4.07,weekly nse groupall 2022-12-02
PCBL,136.35,141.90,4.07,weekly nse groupall 2022-12-02
Dalmia Bharat Sugar,352.60,366.90,4.06,weekly nse groupall 2022-12-02
Relaxo Footwears,918.75,956.05,4.06,weekly nse groupall 2022-12-02
Kakatiya Cement Suga,204.80,213.10,4.05,weekly nse groupall 2022-12-02
Kernex Microsystems,340.70,354.50,4.05,weekly nse groupall 2022-12-02
North Eastern Carry,25.90,26.95,4.05,weekly nse groupall 2022-12-02
GTL Infrastructure,1.25,1.30,4.0,weekly nse groupall 2022-12-02
Salona Cotspin L,276.10,287.15,4.0,weekly nse groupall 2022-12-02
Star Cement,102.45,106.55,4.0,weekly nse groupall 2022-12-02
Oil India Ltd.,199.90,207.90,4.0,weekly nse groupall 2022-12-02
Route Mobile,"1,297.45","1,349.20",3.99,weekly nse groupall 2022-12-02
Reliance Inds.,"2,617.60","2,722.15",3.99,weekly nse groupall 2022-12-02
Firstsource Solution,109.20,113.55,3.98,weekly nse groupall 2022-12-02
Dish TV India Ltd.,21.35,22.20,3.98,weekly nse groupall 2022-12-02
Kewal Kiran Clothing,470.20,488.75,3.95,weekly nse groupall 2022-12-02
Worth Peripherals,108.90,113.20,3.95,weekly nse groupall 2022-12-02
Ucal Fuel System,131.80,137.00,3.95,weekly nse groupall 2022-12-02
Mangalore Refine,57.05,59.30,3.94,weekly nse groupall 2022-12-02
Tirupati Forge,19.05,19.80,3.94,weekly nse groupall 2022-12-02
Happiest Minds Tech,948.40,985.70,3.93,weekly nse groupall 2022-12-02
Sintex Plastics Tech,2.55,2.65,3.92,weekly nse groupall 2022-12-02
Ambika Cotton Mi,"1,495.85","1,554.40",3.91,weekly nse groupall 2022-12-02
Nitin Spinners,199.70,207.50,3.91,weekly nse groupall 2022-12-02
SBI Cards and Pay,806.85,838.35,3.9,weekly nse groupall 2022-12-02
Agro Phos India,38.60,40.10,3.89,weekly nse groupall 2022-12-02
Omaxe Ltd.,75.85,78.80,3.89,weekly nse groupall 2022-12-02
Nazara Technologies,597.80,621.05,3.89,weekly nse groupall 2022-12-02
Quess Corp,422.85,439.30,3.89,weekly nse groupall 2022-12-02
Kriti Nutrients,52.90,54.95,3.88,weekly nse groupall 2022-12-02
Bhageria Industries,164.95,171.30,3.85,weekly nse groupall 2022-12-02
PTL Enterprises,31.15,32.35,3.85,weekly nse groupall 2022-12-02
Orient Bell,529.90,550.30,3.85,weekly nse groupall 2022-12-02
Rollatainers Ltd,1.30,1.35,3.85,weekly nse groupall 2022-12-02
La Opala RG Ltd.,400.20,415.60,3.85,weekly nse groupall 2022-12-02
Shree Cement,"23,204.35","24,094.85",3.84,weekly nse groupall 2022-12-02
Donear Industrie,63.90,66.35,3.83,weekly nse groupall 2022-12-02
Blue Dart Expres,"7,363.50","7,645.85",3.83,weekly nse groupall 2022-12-02
Max Healthcare Inst.,431.05,447.50,3.82,weekly nse groupall 2022-12-02
Indian Bank,271.95,282.35,3.82,weekly nse groupall 2022-12-02
Rain Industries,178.55,185.35,3.81,weekly nse groupall 2022-12-02
Vardhman Special St,250.05,259.55,3.8,weekly nse groupall 2022-12-02
Aditya Birla SL AMC,418.05,433.95,3.8,weekly nse groupall 2022-12-02
HEG Ltd.,"1,021.30","1,060.00",3.79,weekly nse groupall 2022-12-02
Lotus Eye Hospital,88.30,91.65,3.79,weekly nse groupall 2022-12-02
Ortin Laborator.,22.50,23.35,3.78,weekly nse groupall 2022-12-02
Take Solutions Ltd.,23.85,24.75,3.77,weekly nse groupall 2022-12-02
Tata Elxsi,"6,779.95","7,033.95",3.75,weekly nse groupall 2022-12-02
Tin Plate Co.,317.05,328.95,3.75,weekly nse groupall 2022-12-02
Paisalo Digital L,80.15,83.15,3.74,weekly nse groupall 2022-12-02
LIC,627.75,651.25,3.74,weekly nse groupall 2022-12-02
South Indian Ban,16.15,16.75,3.72,weekly nse groupall 2022-12-02
Standard Indust,26.95,27.95,3.71,weekly nse groupall 2022-12-02
A2Z Infra Engineer,10.80,11.20,3.7,weekly nse groupall 2022-12-02
Monte Carlo Fashions,721.35,747.95,3.69,weekly nse groupall 2022-12-02
Gulf Oil Lubricants,439.60,455.80,3.69,weekly nse groupall 2022-12-02
Arvind SmartSpaces,260.85,270.40,3.66,weekly nse groupall 2022-12-02
NBCC (India),41.15,42.65,3.65,weekly nse groupall 2022-12-02
Cholamandalam Financ,585.40,606.75,3.65,weekly nse groupall 2022-12-02
UFO Moviez India Ltd,100.10,103.75,3.65,weekly nse groupall 2022-12-02
ITD Cementation Indi,118.20,122.50,3.64,weekly nse groupall 2022-12-02
Godha Cabcon & Insul,2.75,2.85,3.64,weekly nse groupall 2022-12-02
Marico Ltd.,486.25,503.85,3.62,weekly nse groupall 2022-12-02
Prism Johnson,123.40,127.85,3.61,weekly nse groupall 2022-12-02
ABM International L,66.60,69.00,3.6,weekly nse groupall 2022-12-02
Campus Activewear,439.70,455.50,3.59,weekly nse groupall 2022-12-02
Gabriel India,182.75,189.30,3.58,weekly nse groupall 2022-12-02
Godrej Properties Lt,"1,287.45","1,333.60",3.58,weekly nse groupall 2022-12-02
DLF Ltd.,396.60,410.75,3.57,weekly nse groupall 2022-12-02
Nippon Life AMC,260.45,269.75,3.57,weekly nse groupall 2022-12-02
Vijaya Diagnostic,451.20,467.30,3.57,weekly nse groupall 2022-12-02
Supreme Engineering,1.40,1.45,3.57,weekly nse groupall 2022-12-02
Kellton Tech Solutio,59.10,61.20,3.55,weekly nse groupall 2022-12-02
Cinevista L,11.30,11.70,3.54,weekly nse groupall 2022-12-02
Hind. Copper,114.60,118.65,3.53,weekly nse groupall 2022-12-02
Caplin Point Lab,735.15,761.05,3.52,weekly nse groupall 2022-12-02
Bliss GVS Pharma,71.15,73.65,3.51,weekly nse groupall 2022-12-02
3P Land Holdings,17.10,17.70,3.51,weekly nse groupall 2022-12-02
Technocraft Industri,855.05,885.00,3.5,weekly nse groupall 2022-12-02
Advani Hotels,79.10,81.85,3.48,weekly nse groupall 2022-12-02
Ankit Metal & Power,5.75,5.95,3.48,weekly nse groupall 2022-12-02
Goodluck India,473.20,489.60,3.47,weekly nse groupall 2022-12-02
Delta Corp Ltd.,220.75,228.40,3.47,weekly nse groupall 2022-12-02
Automotive Stampings,386.10,399.50,3.47,weekly nse groupall 2022-12-02
Indo Count Inds.,134.50,139.15,3.46,weekly nse groupall 2022-12-02
National Alumini,75.40,78.00,3.45,weekly nse groupall 2022-12-02
RPSG Ventures,480.30,496.80,3.44,weekly nse groupall 2022-12-02
Rashtriya Chemicals,119.50,123.60,3.43,weekly nse groupall 2022-12-02
Sunflag Iron,89.20,92.25,3.42,weekly nse groupall 2022-12-02
Maheshwari Logist,71.95,74.40,3.41,weekly nse groupall 2022-12-02
Asian Hotels (East),113.40,117.25,3.4,weekly nse groupall 2022-12-02
IRIS Clothings,241.75,249.95,3.39,weekly nse groupall 2022-12-02
Godrej Agrovet L,468.85,484.70,3.38,weekly nse groupall 2022-12-02
Indiabulls Housing F,138.15,142.80,3.37,weekly nse groupall 2022-12-02
Intense Technologies,71.40,73.80,3.36,weekly nse groupall 2022-12-02
Bank of India,81.80,84.55,3.36,weekly nse groupall 2022-12-02
Steel City Securitie,59.65,61.65,3.35,weekly nse groupall 2022-12-02
AJR Infra and Toll,1.50,1.55,3.33,weekly nse groupall 2022-12-02
Zydus Lifesciences,402.10,415.50,3.33,weekly nse groupall 2022-12-02
KCP Sugar & In,25.50,26.35,3.33,weekly nse groupall 2022-12-02
Sequent Scientific,91.60,94.65,3.33,weekly nse groupall 2022-12-02
Phoenix Mills,"1,444.25","1,492.25",3.32,weekly nse groupall 2022-12-02
The Hi-Tech Gears,252.80,261.15,3.3,weekly nse groupall 2022-12-02
Panacea Biotec L,136.75,141.25,3.29,weekly nse groupall 2022-12-02
Aurionpro Solutions,335.85,346.85,3.28,weekly nse groupall 2022-12-02
India Cements Lt,240.95,248.85,3.28,weekly nse groupall 2022-12-02
Astron Paper & Board,33.65,34.75,3.27,weekly nse groupall 2022-12-02
Balaji Telefilms Ltd,46.15,47.65,3.25,weekly nse groupall 2022-12-02
Texmo Pipes & Produc,58.55,60.45,3.25,weekly nse groupall 2022-12-02
Asian Energy Service,72.55,74.90,3.24,weekly nse groupall 2022-12-02
JTEKT India,142.60,147.20,3.23,weekly nse groupall 2022-12-02
Shivalik Bimetal,403.35,416.35,3.22,weekly nse groupall 2022-12-02
Tainwala Chem.,95.10,98.15,3.21,weekly nse groupall 2022-12-02
The United Nilgiri,283.40,292.50,3.21,weekly nse groupall 2022-12-02
Himatsingka Seid,93.40,96.40,3.21,weekly nse groupall 2022-12-02
Tech Mahindra,"1,080.15","1,114.75",3.2,weekly nse groupall 2022-12-02
SPIC,64.05,66.10,3.2,weekly nse groupall 2022-12-02
Fairchem Organics,"1,461.45","1,508.00",3.19,weekly nse groupall 2022-12-02
Novartis,658.85,679.80,3.18,weekly nse groupall 2022-12-02
Shreyas Shipping & L,306.85,316.60,3.18,weekly nse groupall 2022-12-02
TGB Banquets,11.00,11.35,3.18,weekly nse groupall 2022-12-02
Dhampur Sugar,227.40,234.60,3.17,weekly nse groupall 2022-12-02
Oswal Green Tech,28.45,29.35,3.16,weekly nse groupall 2022-12-02
Zen Technologies Ltd,193.20,199.30,3.16,weekly nse groupall 2022-12-02
Garware Tech. Fibres,"3,324.35","3,428.95",3.15,weekly nse groupall 2022-12-02
NCL Industries,179.75,185.40,3.14,weekly nse groupall 2022-12-02
UTI AMC,744.10,767.50,3.14,weekly nse groupall 2022-12-02
R Systems Internat.,254.00,261.95,3.13,weekly nse groupall 2022-12-02
India Pesticides,250.20,258.00,3.12,weekly nse groupall 2022-12-02
Voltas Ltd.,829.40,855.25,3.12,weekly nse groupall 2022-12-02
VRL Logistics Ltd.,559.20,576.65,3.12,weekly nse groupall 2022-12-02
Vodafone Idea L,8.05,8.30,3.11,weekly nse groupall 2022-12-02
Ratnamani Metals,"1,913.65","1,973.10",3.11,weekly nse groupall 2022-12-02
TPL Plastech Ltd.,32.30,33.30,3.1,weekly nse groupall 2022-12-02
Summit Securities,625.05,644.35,3.09,weekly nse groupall 2022-12-02
Imagicaaworld Entert,32.50,33.50,3.08,weekly nse groupall 2022-12-02
Oriental Carbon,760.05,783.35,3.07,weekly nse groupall 2022-12-02
Albert David Ltd,589.65,607.75,3.07,weekly nse groupall 2022-12-02
Century Enka,420.45,433.30,3.06,weekly nse groupall 2022-12-02
Hindustan Unilever L,"2,537.45","2,615.10",3.06,weekly nse groupall 2022-12-02
Zodiac Clothing,91.65,94.45,3.06,weekly nse groupall 2022-12-02
CARE Ratings,555.15,572.10,3.05,weekly nse groupall 2022-12-02
Shakti Pumps (In,406.55,418.95,3.05,weekly nse groupall 2022-12-02
Brigade Enterprises,479.75,494.30,3.03,weekly nse groupall 2022-12-02
Jubilant Industries,430.85,443.85,3.02,weekly nse groupall 2022-12-02
Kirloskar Ferrou,308.75,318.05,3.01,weekly nse groupall 2022-12-02
Suvidhaa Infoserve,5.00,5.15,3.0,weekly nse groupall 2022-12-02
PI Industries,"3,384.05","3,485.60",3.0,weekly nse groupall 2022-12-02
Texmaco Rail & Engin,58.55,60.30,2.99,weekly nse groupall 2022-12-02
Apollo Sindoori Hote,"1,353.40","1,393.70",2.98,weekly nse groupall 2022-12-02
Munjal Auto Industr.,50.30,51.80,2.98,weekly nse groupall 2022-12-02
Birla Corporation Lt,951.45,979.80,2.98,weekly nse groupall 2022-12-02
Kitex Garments,192.80,198.50,2.96,weekly nse groupall 2022-12-02
CL Educate,146.95,151.30,2.96,weekly nse groupall 2022-12-02
Universal Cables,283.60,292.00,2.96,weekly nse groupall 2022-12-02
Balrampur Chini,375.65,386.75,2.95,weekly nse groupall 2022-12-02
JBF Industries,8.50,8.75,2.94,weekly nse groupall 2022-12-02
Shemaroo Entertainme,146.75,151.05,2.93,weekly nse groupall 2022-12-02
PNC Infratech,270.90,278.85,2.93,weekly nse groupall 2022-12-02
Oswal Agro Mills,44.60,45.90,2.91,weekly nse groupall 2022-12-02
Swaraj Engines,"1,570.85","1,616.40",2.9,weekly nse groupall 2022-12-02
Supriya Lifescience,244.50,251.60,2.9,weekly nse groupall 2022-12-02
Narmada Agrobase,24.20,24.90,2.89,weekly nse groupall 2022-12-02
Xchanging Solutions,72.95,75.05,2.88,weekly nse groupall 2022-12-02
KNR Constructions,251.60,258.85,2.88,weekly nse groupall 2022-12-02
Sterling and Wilson,280.70,288.75,2.87,weekly nse groupall 2022-12-02
Thangamayil Jeweller,"1,004.20","1,033.05",2.87,weekly nse groupall 2022-12-02
Maithan Alloys Ltd.,931.10,957.70,2.86,weekly nse groupall 2022-12-02
Vikas Ecotech L,3.50,3.60,2.86,weekly nse groupall 2022-12-02
Best Agrolife,"1,596.85","1,642.30",2.85,weekly nse groupall 2022-12-02
Graphite India Ltd.,380.45,391.30,2.85,weekly nse groupall 2022-12-02
Thirumalai Chem.,199.35,205.00,2.83,weekly nse groupall 2022-12-02
ITI,111.35,114.50,2.83,weekly nse groupall 2022-12-02
Valiant Organics,646.90,665.20,2.83,weekly nse groupall 2022-12-02
Vakrangee,30.00,30.85,2.83,weekly nse groupall 2022-12-02
Pfizer Ltd.,"4,462.55","4,588.40",2.82,weekly nse groupall 2022-12-02
Nandan Denim,26.70,27.45,2.81,weekly nse groupall 2022-12-02
GP Petroleums,42.80,44.00,2.8,weekly nse groupall 2022-12-02
Expleo Solutions,"1,236.10","1,270.75",2.8,weekly nse groupall 2022-12-02
Hind. Zinc,297.10,305.40,2.79,weekly nse groupall 2022-12-02
Pidilite Inds.,"2,662.10","2,736.20",2.78,weekly nse groupall 2022-12-02
KEI Industries,"1,572.70","1,616.35",2.78,weekly nse groupall 2022-12-02
General Ins. Corp.,144.65,148.65,2.77,weekly nse groupall 2022-12-02
Times Guaranty,61.30,63.00,2.77,weekly nse groupall 2022-12-02
Navneet Education,125.15,128.60,2.76,weekly nse groupall 2022-12-02
Natco Pharma,566.30,581.95,2.76,weekly nse groupall 2022-12-02
Chemfab Alkalis,301.35,309.60,2.74,weekly nse groupall 2022-12-02
Suprajit Enginee,335.50,344.65,2.73,weekly nse groupall 2022-12-02
City Union Bank,186.55,191.65,2.73,weekly nse groupall 2022-12-02
Exide Inds.,185.55,190.60,2.72,weekly nse groupall 2022-12-02
McLeod Russel,27.55,28.30,2.72,weekly nse groupall 2022-12-02
Suryoday Small Finan,101.60,104.35,2.71,weekly nse groupall 2022-12-02
Sobha,620.40,637.15,2.7,weekly nse groupall 2022-12-02
Aditya Birla Money L,61.05,62.70,2.7,weekly nse groupall 2022-12-02
LIC Housing Fi,383.25,393.60,2.7,weekly nse groupall 2022-12-02
Alankit,11.10,11.40,2.7,weekly nse groupall 2022-12-02
Vaishali Pharma,121.05,124.30,2.68,weekly nse groupall 2022-12-02
Inox Leisure,540.55,555.00,2.67,weekly nse groupall 2022-12-02
Cheviot Co Ltd,"1,200.60","1,232.60",2.67,weekly nse groupall 2022-12-02
AVT Natural Prod,108.65,111.55,2.67,weekly nse groupall 2022-12-02
BLS International Se,361.25,370.90,2.67,weekly nse groupall 2022-12-02
Coastal Corporation,261.70,268.65,2.66,weekly nse groupall 2022-12-02
YES Bank Ltd.,16.95,17.40,2.65,weekly nse groupall 2022-12-02
Sadbhav Infrastructu,5.65,5.80,2.65,weekly nse groupall 2022-12-02
Nitiraj Engineers,71.85,73.75,2.64,weekly nse groupall 2022-12-02
