company,Prev_Close,Current_Price,Changes,comments
Sarda Energy & Miner,930.20,"1,045.55",12.4,weekly nse groupall 2022-12-02
DCB Bank,121.50,136.50,12.35,weekly nse groupall 2022-12-02
Andrew Yule & Co,23.55,26.45,12.31,weekly nse groupall 2022-12-02
Sasken Technologies,904.45,"1,014.80",12.2,weekly nse groupall 2022-12-02
Shradha Infraproject,61.95,69.50,12.19,weekly nse groupall 2022-12-02
Indo Thai Securities,291.15,326.50,12.14,weekly nse groupall 2022-12-02
Aditya Birla Capital,135.30,151.70,12.12,weekly nse groupall 2022-12-02
Accelya Solutions In,"1,524.05","1,707.30",12.02,weekly nse groupall 2022-12-02
Faze Three Ltd.,276.40,309.50,11.98,weekly nse groupall 2022-12-02
Adroit Infotech,18.80,21.05,11.97,weekly nse groupall 2022-12-02
Satin Creditcare,130.30,145.90,11.97,weekly nse groupall 2022-12-02
Omkar Speciality Che,15.95,17.85,11.91,weekly nse groupall 2022-12-02
Aarvee Denims an,23.10,25.85,11.9,weekly nse groupall 2022-12-02
Hindware Home Innova,337.75,377.95,11.9,weekly nse groupall 2022-12-02
Tarmat L,50.05,56.00,11.89,weekly nse groupall 2022-12-02
Siyaram Silk,488.25,546.05,11.84,weekly nse groupall 2022-12-02
Suzlon Energy Ltd.,8.45,9.45,11.83,weekly nse groupall 2022-12-02
TV18 Broadcast,36.80,41.15,11.82,weekly nse groupall 2022-12-02
Indian Metal & F,238.40,266.55,11.81,weekly nse groupall 2022-12-02
Mukand Ltd.,102.15,114.20,11.8,weekly nse groupall 2022-12-02
Delta Manufacturing,71.20,79.45,11.59,weekly nse groupall 2022-12-02
ISGEC Heavy Eng,466.05,519.95,11.57,weekly nse groupall 2022-12-02
Globus Spirits Ltd.,797.50,888.90,11.46,weekly nse groupall 2022-12-02
Ugar Sugar Works,81.40,90.70,11.43,weekly nse groupall 2022-12-02
Hind.ConstructionCo.,16.65,18.55,11.41,weekly nse groupall 2022-12-02
Krishana Phoschem,359.20,400.05,11.37,weekly nse groupall 2022-12-02
KIOCL,195.65,217.75,11.3,weekly nse groupall 2022-12-02
Guj. Mineral Dev,144.70,161.05,11.3,weekly nse groupall 2022-12-02
SecUR Credentials,103.45,115.10,11.26,weekly nse groupall 2022-12-02
Gandhi Special,556.45,618.80,11.2,weekly nse groupall 2022-12-02
Dalmia Bharat L,"1,742.15","1,936.70",11.17,weekly nse groupall 2022-12-02
GVK Power & Infrastr,2.70,3.00,11.11,weekly nse groupall 2022-12-02
Uma Exports,43.80,48.60,10.96,weekly nse groupall 2022-12-02
Hinduja Global Solut,"1,265.95","1,403.75",10.89,weekly nse groupall 2022-12-02
Welspun Enterprises,146.55,162.40,10.82,weekly nse groupall 2022-12-02
Titagarh Wagons Ltd.,178.55,197.80,10.78,weekly nse groupall 2022-12-02
Ami Organics,896.30,991.50,10.62,weekly nse groupall 2022-12-02
AGI Greenpac,286.25,316.65,10.62,weekly nse groupall 2022-12-02
Gulshan Polyols Ltd.,229.35,253.60,10.57,weekly nse groupall 2022-12-02
Alkali Metals Ltd.,119.95,132.60,10.55,weekly nse groupall 2022-12-02
Bharat Heavy Ele,81.95,90.55,10.49,weekly nse groupall 2022-12-02
Nahar Spg Mills,277.20,306.00,10.39,weekly nse groupall 2022-12-02
Prestige Estates Pro,460.00,507.80,10.39,weekly nse groupall 2022-12-02
Swan Energy Ltd.,231.00,254.95,10.37,weekly nse groupall 2022-12-02
Manaksia Coated Meta,17.40,19.20,10.34,weekly nse groupall 2022-12-02
L&T Technology Serv,"3,885.85","4,287.35",10.33,weekly nse groupall 2022-12-02
Esab India,"3,764.25","4,151.30",10.28,weekly nse groupall 2022-12-02
RSWM Ltd.,299.15,329.70,10.21,weekly nse groupall 2022-12-02
Hindprakash Industri,100.45,110.70,10.2,weekly nse groupall 2022-12-02
Medico Remedies,283.85,312.55,10.11,weekly nse groupall 2022-12-02
Themis Medicare Ltd.,978.70,"1,076.65",10.01,weekly nse groupall 2022-12-02
Somi Conveyor Beltin,37.95,41.75,10.01,weekly nse groupall 2022-12-02
Debock Industries,13.50,14.85,10.0,weekly nse groupall 2022-12-02
NIIT Ltd.,310.45,341.45,9.99,weekly nse groupall 2022-12-02
